0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
PROVED.,RAZON SOCIAL,RAZON SOCIAL2,CUIT,DOMICILIO,C.POSTAL,LOCALIDAD,PCIA,TELEFONO,E-MAIL,PAIS,CONTACTO,T.IVA.,ING.BRUTOS,SALDO CCTE.,SALDO INIC.,SALDO A/CTA,CTA.CONT.,C.VTA.,COD.MON
1,NSK LATIN AMERICA; Inc.,,,2500 N.W. 107th AVE. SUITE 300,0,MIAMI - FLORIDA,25,(305)-477-0605-FAX(305)4770377,,E.E..U.U.,SR. TERRY REID/PABLO YLLESCAS,IN,,0,0,0,,202,2
2,FEDERAL-MOGUL CORPORATION,,,1600 NORTHPARK DRIVE,0,WESTON - FLORIDA,25,(954)-3896334 FAX(954)-3841476,,E.E.U.U.,,IN,,0,0,0,,202,2
3,NSK DO BRAZIL I.C.ROLAMENTOS,,,RUA TREZE DE MAIO 1633,9020,SAO PAULO,25,(00055)11-269 4733,,BRAZIL,SR.NOVUO/SR.NELSON NAKAZAKI,IN,,0,0,0,,202,2
4,NTN SUDAMERICANA S.A.,,,APARTADO 033,0,PANAMA 5,25,(0507)-269 4777,,PANAMA,MARIANO RADELJACK,IN,,0,0,0,,202,2
5,NIPPON THOMPSON CO LTD.,,,19-19 TAKANAWA 2 - CHOME,0,MIMATO-KU - TOKYO,25,,,JAPAN,,IN,,0,0,0,,202,2
6,OMNIA-ROOLL s.r.o.,,,DUNAJSKA 4-6,8148,BRATISLAVA,25,(00427)-350105/231,,ESLOVAQUIA,SR. BACERO,IN,,0,0,0,,202,2
7,REXNORD CORPORATION,,,,0,,25,,,E.E.U.U.,,IN,,0,0,0,,202,2
8,RULMENTI GREI S.A.,,,PLOIESTI 2000,0,PETRESCU NR. 25,25,00 40 441 72222,,ESLOVAQUIA,,IN,,0,0,0,,202,2
9,SNR ROULEMENTS; B.P. 2017,,,74010 ANNECY,7401,CEDEX,25,50 65 30 00,,FRANCE,SR. GRECCO,IN,,0,0,0,,202,2
10,SNR RODAMIENTOS HISPANIA S.A.,,,LLANOS DE JEREZ; 2,8820,COSLADA - MADRID,25,6718913/14,,ESPAÑA,SR. GRECCO,IN,,0,0,0,,202,2
11,THE TIMKEN CORPORATION,,,1835 DUEBER AVE. S.W.,4470,CANTON OH - USA,25,,,ESTADOS UNIDOS,,XE,,0,0,0,,202,2
12,ROLLWAY BEARING n.v.,,,HEILVEILDEKENS 16,0,,1,03 457 6870,,ARGENTINA,JORGE NAUSCHUTZ/KARL LOESSNER,IN,,0,0,0,,202,2
13,ZKL BEARINGS CZ; S.A.,,,HOLEEKOVA 31,5095,,1,4961-0778,,ARGENTINA,,IN,,0,0,0,,202,2
14,EMERSON POWER TRANSMISSION COR,,,BUFFINGTON ROAD,7120,KENTUCKY,1,,,ARGENTINA,,IN,,0,0,0,,0,0
15,BEARINGS LIMITED,,,20 DAVIDS DRIVE,0,NY 11788-2091,1,,,ARGENTINA,MARK MAGRAY,IN,,0,0,0,,202,2
